epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8858,4.58169,6.9387,4.16519,0,0,0,0,6.37177,14.5037,4.03679,0.0707692,0.00324786,0.00324786
2,36.2167,4.3805,5.5793,3.9336,0,0,0,0,6.06762,5.83893,3.68824,0.0401177,0.00592966,0.00592966
3,50.5641,4.12689,5.08907,3.60382,0,0,0,0,5.82113,5.29126,3.47325,0.00880615,0.00795145,0.00795145
4,63.9573,3.80699,4.95969,3.29259,0,0,0,0,6.1322,5.84157,3.78725,0.00703,0.00703,0.00703
5,77.7831,3.69725,4.85977,3.24667,0,0,0,0,5.99719,6.18037,3.67185,0.00604,0.00604,0.00604
6,92.6177,3.63307,4.79711,3.06891,0.0001,0.08642,8e-05,3e-05,3.85423,16.5447,2.60315,0.00505,0.00505,0.00505
7,106.87,3.54834,4.60733,3.03596,0.04167,0.01235,0.00486,0.00079,3.91388,inf,2.67789,0.00406,0.00406,0.00406
8,120.713,3.5049,4.57409,3.01537,0.7531,0.01235,0.02082,0.00767,4.67492,5.02587,2.875,0.00307,0.00307,0.00307
9,135.154,3.39916,4.47211,3.02151,0.86011,0.01235,0.01718,0.00323,5.31091,4.56849,3.29137,0.00208,0.00208,0.00208
10,148.869,3.37737,4.30583,3.01266,0.70345,0.04938,0.01189,0.00341,3.67406,5.14874,2.45378,0.00109,0.00109,0.00109
