epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7207,5.19425,8.17145,4.38397,0,0,0,0,4.47715,5.93991,4.15952,0.1,0,0
2,37.7997,4.91592,7.97046,4.24356,0,0,0,0,4.47737,5.94037,4.15991,0.0990997,9.967e-05,9.967e-05
3,55.5864,4.77057,9.24004,4.39479,0,0,0,0,4.4784,5.94367,4.15989,0.0981987,0.00019868,0.00019868
4,73.7796,5.48357,9.73385,4.41784,0,0,0,0,4.47732,5.94566,4.15967,0.097297,0.00029703,0.00029703
5,92.7979,5.11951,8.43869,4.35463,0,0,0,0,4.47732,5.94566,4.15965,0.0963947,0.00039472,0.00039472
