epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8619,3.15188,6.68315,2.55009,0,0,0,0,2.07977,6.36593,1.61883,0.0811,0.0021,0.0021
2,39.8938,2.7847,5.49786,2.13711,0,0,0,0,3.95933,7.72033,2.71432,0.0612858,0.00428581,0.00428581
3,54.8798,2.60352,4.51502,1.9201,0,0,0,0,4.02096,7.03588,2.75575,0.0414571,0.0064571,0.0064571
4,68.694,2.63305,4.06185,1.87553,0,0,0,0,3.75442,5.92547,2.52328,0.0216139,0.00861387,0.00861387
5,82.9983,2.63391,3.912,1.84193,0.00065,0.17284,0.02635,0.00725,3.02789,5.02563,2.04547,0.009868,0.009868,0.009868
6,96.8035,2.5639,3.51185,1.83896,0.00081,0.08741,0.00358,0.0009,4.28675,9.13033,4.45444,0.009835,0.009835,0.009835
7,113.881,2.50925,3.35365,1.82034,3e-05,0.01235,1e-05,0,4.14404,207.905,3.54579,0.009802,0.009802,0.009802
8,126.941,2.45905,3.07433,1.7304,3e-05,0.01235,1e-05,0,4.03006,39.9515,3.31134,0.009769,0.009769,0.009769
9,143.426,2.47097,2.87344,1.755,3e-05,0.01235,1e-05,0,4.40286,170.881,3.7437,0.009736,0.009736,0.009736
10,156.87,2.44273,2.66507,1.72098,0.46033,0.03704,0.03002,0.00764,3.76205,148.612,2.80314,0.009703,0.009703,0.009703
11,170.941,2.36885,2.53259,1.67458,2e-05,0.01235,1e-05,0,4.6566,21.6715,4.3169,0.00967,0.00967,0.00967
12,184.745,2.31589,2.40599,1.69996,0.43834,0.07407,0.03786,0.01272,3.81323,6.40057,2.57222,0.009637,0.009637,0.009637
13,198.294,2.34011,2.37824,1.68485,0.0616,0.07407,0.03612,0.00609,3.96259,4.25972,2.99375,0.009604,0.009604,0.009604
14,212.926,2.22655,2.27936,1.69288,0.0616,0.07407,0.03612,0.00609,5.49772,5.25043,5.6603,0.009571,0.009571,0.009571
15,226.645,2.27419,2.18146,1.66828,0.00017,0.02469,0.00028,3e-05,4.89253,4.78609,4.47423,0.009538,0.009538,0.009538
16,241.543,2.23919,2.18809,1.64786,0.00017,0.02469,0.00028,3e-05,5.28702,8.45168,6.73699,0.009505,0.009505,0.009505
17,254.652,2.14929,2.16678,1.62821,0.67445,0.01235,0.00044,4e-05,5.01656,7.48739,4.18705,0.009472,0.009472,0.009472
18,268.659,2.20019,2.0879,1.6696,0.10712,0.08642,0.03664,0.00793,4.07863,3.63572,3.10788,0.009439,0.009439,0.009439
19,283.781,2.1894,2.09385,1.62537,0.10712,0.08642,0.03664,0.00793,5.52091,11.7655,6.85474,0.009406,0.009406,0.009406
20,297.259,2.1416,1.97248,1.60126,0.10712,0.08642,0.03664,0.00793,5.57879,21.2977,6.63821,0.009373,0.009373,0.009373
21,311.627,2.14724,1.91137,1.57327,0.406,0.07407,0.03654,0.00627,4.00729,4.99505,3.05177,0.00934,0.00934,0.00934
22,325.642,2.12685,1.87877,1.56322,0.40271,0.02469,0.01339,0.00314,4.19731,4.55889,3.42463,0.009307,0.009307,0.009307
23,340.196,2.10467,1.90672,1.56375,0.01662,0.04938,0.00379,0.00091,4.47926,4.4931,3.80632,0.009274,0.009274,0.009274
24,353.959,2.04914,1.83516,1.54754,0.35165,0.01235,0.00129,0.00022,4.50152,4.97311,4.03754,0.009241,0.009241,0.009241
25,368.844,2.0845,1.78486,1.526,0.02958,0.04938,0.01377,0.00267,3.88228,4.66594,3.08369,0.009208,0.009208,0.009208
26,382.152,2.06178,1.77394,1.49491,0.00062,0.04938,0.00079,0.00013,4.77533,4.61373,4.45772,0.009175,0.009175,0.009175
27,397.01,2.07245,1.73208,1.50342,0.71788,0.03704,0.01124,0.00163,4.28243,5.64924,3.60214,0.009142,0.009142,0.009142
28,410.991,1.99351,1.736,1.4716,0.0004,0.03704,0.00056,0.00015,4.71513,4.42435,4.14344,0.009109,0.009109,0.009109
29,425.382,1.98357,1.68666,1.47758,0.0026,0.01235,0.00029,5e-05,4.698,6.12551,4.50947,0.009076,0.009076,0.009076
30,438.862,2.02405,1.65219,1.4838,0.0026,0.01235,0.00029,5e-05,5.39027,5.15184,6.16085,0.009043,0.009043,0.009043
31,453.161,2.01052,1.66206,1.46602,0.00186,0.01235,0.00074,7e-05,4.9256,5.17345,4.88353,0.00901,0.00901,0.00901
32,466.572,2.00182,1.68275,1.48802,0.02408,0.02469,0.00491,0.00107,4.54106,4.65888,4.2023,0.008977,0.008977,0.008977
33,480.853,1.98017,1.59543,1.47751,0.02408,0.02469,0.00491,0.00107,4.86379,5.30542,4.91947,0.008944,0.008944,0.008944
34,494.823,1.99389,1.63379,1.48166,0.38659,0.04938,0.01397,0.00219,4.06817,4.66237,3.22126,0.008911,0.008911,0.008911
35,508.144,1.91687,1.59009,1.4543,0.38121,0.03704,0.01393,0.0026,4.31153,4.94831,3.46412,0.008878,0.008878,0.008878
36,522.895,1.87769,1.49482,1.39203,0.00758,0.01235,0.00052,0.00013,4.62154,5.6715,3.90854,0.008845,0.008845,0.008845
37,536.359,1.91054,1.50044,1.39701,0.01407,0.02469,0.00187,0.00031,4.4354,5.24039,3.75002,0.008812,0.008812,0.008812
38,550.963,1.92935,1.55923,1.41655,0.00428,0.01235,0.00052,5e-05,4.54773,6.1586,3.91945,0.008779,0.008779,0.008779
39,565.623,1.9323,1.52782,1.41141,0.68831,0.01235,0.00305,0.0004,4.34086,5.96914,3.55624,0.008746,0.008746,0.008746
40,582.554,1.92957,1.49262,1.43707,0.68831,0.01235,0.00305,0.0004,4.54071,6.1376,3.72743,0.008713,0.008713,0.008713
41,599.245,1.88372,1.49407,1.42388,0.0003,0.01235,0.00036,4e-05,4.60646,6.77564,4.04281,0.00868,0.00868,0.00868
42,613.192,1.85744,1.5173,1.4131,0.0003,0.01235,0.00036,4e-05,5.25133,5.82054,5.47947,0.008647,0.008647,0.008647
43,627.905,1.86109,1.45498,1.41314,0.00013,0.01235,7e-05,1e-05,4.95619,5.9921,4.93924,0.008614,0.008614,0.008614
44,642.376,1.88475,1.46899,1.41795,0.00988,0.01235,0.00322,0.00051,4.5182,5.35608,4.19951,0.008581,0.008581,0.008581
45,658.265,1.88699,1.44151,1.40457,0.00988,0.01235,0.00322,0.00051,4.68599,5.99191,4.30078,0.008548,0.008548,0.008548
46,672.012,1.87683,1.42579,1.37705,0.00988,0.01235,0.00322,0.00051,5.16802,9.05381,5.50029,0.008515,0.008515,0.008515
47,687.305,1.82117,1.39089,1.35653,0.00988,0.01235,0.00322,0.00051,4.9795,6.43524,4.84395,0.008482,0.008482,0.008482
48,702.263,1.85606,1.39575,1.40401,0.00163,0.01235,0.00084,0.00025,4.75647,4.78015,4.57755,0.008449,0.008449,0.008449
49,717.86,1.83803,1.40282,1.38062,0.05074,0.04938,0.02912,0.00435,4.49081,5.28013,3.81078,0.008416,0.008416,0.008416
50,731.716,1.79239,1.34373,1.36182,0.00347,0.02469,0.00192,0.00028,4.62424,4.56667,4.00782,0.008383,0.008383,0.008383
51,747.091,1.81256,1.36238,1.39759,0.00032,0.01235,0.00017,2e-05,5.02419,8.2718,5.05031,0.00835,0.00835,0.00835
52,761.521,1.8444,1.40142,1.37115,0.00032,0.01235,0.00017,2e-05,4.79567,5.38802,4.29433,0.008317,0.008317,0.008317
53,775.397,1.79223,1.31639,1.34302,0.00032,0.01235,0.00017,2e-05,5.09448,6.51715,4.45156,0.008284,0.008284,0.008284
54,788.79,1.73585,1.29346,1.33144,0.00032,0.01235,0.00017,2e-05,5.02311,7.34467,4.99743,0.008251,0.008251,0.008251
55,802.88,1.78887,1.31088,1.35964,0.00032,0.01235,0.00017,2e-05,4.79082,9.43012,4.77251,0.008218,0.008218,0.008218
56,816.483,1.82112,1.32752,1.37728,0.00032,0.01235,0.00017,2e-05,5.05899,5.32893,4.96567,0.008185,0.008185,0.008185
57,829.898,1.79444,1.33624,1.37215,0.00081,0.02469,0.00062,6e-05,4.83871,5.64721,4.45609,0.008152,0.008152,0.008152
58,842.582,1.784,1.34586,1.34756,0.00081,0.02469,0.00062,6e-05,5.49835,6.62144,5.8475,0.008119,0.008119,0.008119
59,857.867,1.76253,1.30635,1.36663,0.00081,0.02469,0.00062,6e-05,5.0345,6.1478,4.97864,0.008086,0.008086,0.008086
60,871.369,1.79,1.28829,1.34528,0.00081,0.02469,0.00062,6e-05,4.8004,6.71794,4.60405,0.008053,0.008053,0.008053
61,885.878,1.7898,1.28037,1.35278,0.003,0.01235,0.00174,0.00052,4.57866,5.70463,4.24401,0.00802,0.00802,0.00802
62,899.559,1.73069,1.25239,1.32826,0.003,0.01235,0.00174,0.00052,5.06802,5.79365,4.78958,0.007987,0.007987,0.007987
63,913.662,1.7653,1.25532,1.34908,0.003,0.01235,0.00174,0.00052,4.79609,7.49478,4.54651,0.007954,0.007954,0.007954
64,928.1,1.74582,1.28119,1.33041,0.35607,0.01235,0.0042,0.00084,4.70683,5.45986,4.20024,0.007921,0.007921,0.007921
65,942.249,1.77188,1.27869,1.34898,0.35607,0.01235,0.0042,0.00084,5.0096,7.25549,4.35447,0.007888,0.007888,0.007888
66,955.996,1.70793,1.24107,1.30948,0.00103,0.02469,0.00069,0.0001,4.77913,5.40615,4.47074,0.007855,0.007855,0.007855
67,969.178,1.75483,1.24311,1.32695,0.0029,0.01235,0.00163,0.00033,4.77641,7.5439,4.48256,0.007822,0.007822,0.007822
68,982.885,1.72979,1.25241,1.3137,0.0029,0.01235,0.00163,0.00033,4.86133,6.51572,4.99775,0.007789,0.007789,0.007789
69,996.537,1.71564,1.18967,1.32081,0.0096,0.01235,0.0004,4e-05,5.09268,5.42235,5.26594,0.007756,0.007756,0.007756
70,1010.84,1.7096,1.24555,1.30978,0.0096,0.01235,0.0004,4e-05,5.4193,6.29334,5.82992,0.007723,0.007723,0.007723
71,1024.98,1.70882,1.23522,1.30399,0.0096,0.01235,0.0004,4e-05,5.1193,6.8264,4.94298,0.00769,0.00769,0.00769
72,1038.49,1.70566,1.22087,1.31356,0.00013,0.01235,0.00022,2e-05,4.63457,5.94265,4.15609,0.007657,0.007657,0.007657
73,1053.75,1.64953,1.20059,1.28037,0.00013,0.01235,0.00022,2e-05,4.54511,6.38747,4.22011,0.007624,0.007624,0.007624
74,1068.32,1.67059,1.20517,1.29208,0.68187,0.01235,0.0028,0.00028,4.61456,5.40451,4.28244,0.007591,0.007591,0.007591
75,1083.26,1.64336,1.1736,1.27211,0.68187,0.01235,0.0028,0.00028,4.63471,5.95168,4.32913,0.007558,0.007558,0.007558
