epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1838,4.84385,7.94455,4.21021,0,0,0,0,4.07324,5.62002,4.13355,0.0707895,0.00324561,0.00324561
2,28.0511,4.85466,5.67527,3.97613,0,0,0,0,4.20331,4.35804,3.93859,0.0407678,0.00655724,0.00655724
3,38.349,4.60945,4.86288,3.54591,0,0,0,0,4.74255,4.31141,3.48262,0.0107241,0.00984686,0.00984686
4,48.9752,4.54767,4.74345,3.10867,0,0,0,0,4.78885,4.3075,3.36689,0.009901,0.009901,0.009901
5,59.4867,4.46035,4.57588,2.91799,0.00109,0.05725,0.00072,0.00018,4.54352,4.43051,3.3007,0.009868,0.009868,0.009868
6,69.9455,4.09899,4.30071,2.57797,0.00109,0.05725,0.00072,0.00018,nan,nan,nan,0.009835,0.009835,0.009835
7,81.2626,3.64624,3.79112,2.16768,0.06143,0.0651,0.02411,0.00807,3.80441,4.0163,2.53523,0.009802,0.009802,0.009802
8,91.9302,3.39442,3.2598,1.97634,0.18558,0.17048,0.15074,0.05814,3.44614,5.44449,2.1829,0.009769,0.009769,0.009769
9,103.278,3.21123,3.00672,1.87996,0.23588,0.17893,0.19673,0.08803,3.33825,7.65267,2.26827,0.009736,0.009736,0.009736
10,113.212,3.09342,2.85391,1.81184,0.03728,0.01302,0.02565,0.00801,4.62798,5.06862,2.46741,0.009703,0.009703,0.009703
11,123.72,3.02556,2.70557,1.77935,0.25356,0.19473,0.18909,0.08932,3.21045,2.98086,2.02377,0.00967,0.00967,0.00967
12,134.257,2.92965,2.61488,1.74112,0.33036,0.2452,0.23793,0.11162,3.26153,2.94907,2.11465,0.009637,0.009637,0.009637
13,144.789,2.87266,2.49687,1.70803,0.76214,0.22425,0.27017,0.14956,3.09302,2.94808,1.97736,0.009604,0.009604,0.009604
14,155.66,2.77917,2.41831,1.69067,0.27005,0.12244,0.11752,0.05178,3.63674,4.05371,2.01531,0.009571,0.009571,0.009571
15,166.391,2.75951,2.40757,1.6685,0.38997,0.28161,0.26883,0.14623,2.96838,2.74069,1.96744,0.009538,0.009538,0.009538
16,177.016,2.72596,2.34214,1.63224,0.71376,0.2458,0.25962,0.13038,3.14468,3.01723,1.88168,0.009505,0.009505,0.009505
17,188.852,2.73119,2.33757,1.64388,0.37111,0.28695,0.30502,0.16494,2.83575,2.63671,1.93555,0.009472,0.009472,0.009472
18,199.835,2.65982,2.26287,1.60434,0.34143,0.28635,0.24818,0.13476,2.74481,2.62866,1.8931,0.009439,0.009439,0.009439
19,210.304,2.65059,2.26124,1.59916,0.2682,0.21175,0.1963,0.10155,2.99776,2.97735,1.89628,0.009406,0.009406,0.009406
