epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0416,2.62063,6.73468,1.73352,0,0,0,0,1.87515,5.66767,1.43615,0.0706383,0.00326241,0.00326241
2,25.4405,2.54155,4.60736,1.711,0.00058,0.0615,0.0119,0.00137,3.34152,6.36415,2.81708,0.0406165,0.00657398,0.00657398
3,32.7149,2.52581,4.00426,1.68528,0.67219,0.18801,0.21663,0.09993,2.14836,3.34652,1.71051,0.0105728,0.00986355,0.00986355
4,39.6912,2.55336,3.54607,1.61466,0.67219,0.18801,0.21663,0.09993,4.34644,15.9962,2.59264,0.009901,0.009901,0.009901
5,46.5844,2.59891,3.26516,1.64394,0.65299,0.15903,0.16611,0.08632,2.54972,4.41067,1.99812,0.009868,0.009868,0.009868
6,53.481,2.55092,2.9469,1.59771,0.61572,0.18906,0.21586,0.05505,2.65889,3.05716,1.83395,0.009835,0.009835,0.009835
7,60.3506,2.53996,2.69769,1.56979,0.4737,0.41887,0.41331,0.17436,2.28963,1.89475,1.61145,0.009802,0.009802,0.009802
8,67.2227,2.5183,2.50929,1.57291,0.50888,0.13043,0.17464,0.06401,2.77292,3.85115,2.15481,0.009769,0.009769,0.009769
9,74.1521,2.50949,2.31099,1.5218,0.50186,0.52499,0.46604,0.16981,2.07426,1.91161,1.33423,0.009736,0.009736,0.009736
10,81.0245,2.39718,2.07106,1.48346,0.67745,0.34743,0.33282,0.14119,2.29178,2.10729,1.64363,0.009703,0.009703,0.009703
11,87.8685,2.41438,2.0331,1.57444,0.42286,0.53264,0.42052,0.15606,2.19064,1.68045,1.43834,0.00967,0.00967,0.00967
12,94.7755,2.44578,2.15233,1.56335,0.47307,0.13615,0.17085,0.0702,2.52501,3.80486,1.83065,0.009637,0.009637,0.009637
13,101.656,2.32144,2.02245,1.48991,0.5251,0.49263,0.52898,0.23077,2.02458,1.50437,1.48579,0.009604,0.009604,0.009604
14,108.545,2.31954,1.97924,1.5072,0.4764,0.46939,0.4552,0.21866,2.03083,2.19563,1.44243,0.009571,0.009571,0.009571
15,115.428,2.36945,1.9214,1.53001,0.58675,0.57336,0.56602,0.27561,1.81855,1.43758,1.31418,0.009538,0.009538,0.009538
16,122.344,2.34304,1.89726,1.52854,0.48001,0.11045,0.06432,0.02239,3.18539,4.81479,2.49326,0.009505,0.009505,0.009505
17,129.189,2.28028,1.89798,1.47889,0.8125,0.58391,0.6677,0.27491,1.88331,1.43253,1.39474,0.009472,0.009472,0.009472
18,136.132,2.36887,1.92129,1.53856,0.56957,0.28522,0.29635,0.11413,2.48173,3.26311,1.95249,0.009439,0.009439,0.009439
19,143.023,2.33863,1.85286,1.5474,0.63036,0.57131,0.58881,0.28252,1.81554,1.29899,1.39396,0.009406,0.009406,0.009406
20,149.919,2.27021,1.80562,1.48907,0.70142,0.63167,0.65763,0.28071,1.92428,1.35541,1.39541,0.009373,0.009373,0.009373
21,156.982,2.26921,1.81,1.55325,0.55639,0.49968,0.56028,0.24332,1.93755,1.33804,1.4954,0.00934,0.00934,0.00934
22,163.858,2.22144,1.65384,1.52816,0.57377,0.51196,0.50383,0.20687,2.06907,1.68615,1.54805,0.009307,0.009307,0.009307
23,170.72,2.25987,1.80834,1.53642,0.83589,0.42852,0.53234,0.21667,1.98408,1.45737,1.47816,0.009274,0.009274,0.009274
24,177.586,2.28237,1.75624,1.5146,0.5341,0.66486,0.61903,0.3032,1.76669,1.26384,1.40896,0.009241,0.009241,0.009241
25,184.54,2.20383,1.65957,1.51476,0.57894,0.63766,0.63592,0.22818,1.96777,1.35426,1.52721,0.009208,0.009208,0.009208
26,191.643,2.18365,1.64013,1.47854,0.90157,0.56757,0.64245,0.27898,1.86951,1.27922,1.48264,0.009175,0.009175,0.009175
27,198.976,2.21783,1.61651,1.49578,0.61366,0.64013,0.63932,0.27856,1.85189,1.32259,1.467,0.009142,0.009142,0.009142
28,206.206,2.18519,1.61652,1.47162,0.6164,0.2318,0.2748,0.10264,2.70279,2.92393,2.08504,0.009109,0.009109,0.009109
29,213.185,2.19186,1.62305,1.51896,0.71584,0.23509,0.34713,0.14954,2.21976,3.44183,1.71856,0.009076,0.009076,0.009076
30,220.162,2.19297,1.63338,1.45067,0.5281,0.54825,0.5974,0.27219,1.88686,1.30359,1.44479,0.009043,0.009043,0.009043
31,227.035,2.17775,1.70157,1.47067,0.87371,0.47904,0.54095,0.2468,1.99756,1.50063,1.47646,0.00901,0.00901,0.00901
32,233.983,2.1734,1.63239,1.46145,0.91475,0.08462,0.13949,0.05657,2.76886,4.9976,2.10083,0.008977,0.008977,0.008977
33,240.932,2.20373,1.63511,1.46076,0.62969,0.615,0.63999,0.23505,2.0543,1.50248,1.5433,0.008944,0.008944,0.008944
34,247.855,2.16071,1.52865,1.48301,0.92134,0.55215,0.65893,0.32768,1.78083,1.24103,1.42906,0.008911,0.008911,0.008911
35,254.802,2.11298,1.60126,1.4447,0.71687,0.65848,0.68079,0.29993,1.83842,1.25337,1.41776,0.008878,0.008878,0.008878
36,261.813,2.13287,1.52468,1.47347,0.6104,0.59088,0.62474,0.29162,1.77695,1.31969,1.44877,0.008845,0.008845,0.008845
37,268.731,2.18577,1.60984,1.50566,0.5657,0.57885,0.60449,0.29339,1.88523,1.39312,1.46329,0.008812,0.008812,0.008812
38,275.713,2.10772,1.50895,1.44763,0.61309,0.58232,0.60677,0.28417,1.87931,1.40258,1.43704,0.008779,0.008779,0.008779
39,282.637,2.13863,1.59279,1.46012,0.65084,0.21805,0.23416,0.09626,2.89712,4.48419,2.17207,0.008746,0.008746,0.008746
40,289.634,2.10261,1.56558,1.48597,0.55218,0.51233,0.48351,0.22226,2.06264,1.77612,1.56789,0.008713,0.008713,0.008713
41,296.679,2.14918,1.60498,1.44665,0.57439,0.38873,0.50269,0.16239,2.29014,2.49307,1.65783,0.00868,0.00868,0.00868
42,303.699,2.12078,1.54989,1.44863,0.53087,0.46347,0.45806,0.15277,2.40389,1.78557,1.8185,0.008647,0.008647,0.008647
43,310.609,2.03436,1.44877,1.42902,0.44891,0.27657,0.3041,0.09824,2.77302,2.962,2.01109,0.008614,0.008614,0.008614
44,317.596,2.16194,1.58047,1.44677,0.627,0.55721,0.60695,0.24269,2.05757,1.51643,1.54924,0.008581,0.008581,0.008581
45,324.569,2.12487,1.50685,1.42096,0.72633,0.618,0.65145,0.25043,2.0999,1.30179,1.56358,0.008548,0.008548,0.008548
46,331.52,2.10966,1.56019,1.45239,0.62323,0.52567,0.62604,0.24371,2.07888,2.0907,1.56537,0.008515,0.008515,0.008515
47,338.489,2.09699,1.49326,1.43789,0.43389,0.30069,0.30771,0.11457,2.55068,2.61284,1.89909,0.008482,0.008482,0.008482
48,345.445,2.10382,1.51371,1.45233,0.66038,0.64556,0.65535,0.3119,1.82645,1.10692,1.4543,0.008449,0.008449,0.008449
49,352.346,2.14858,1.49851,1.44922,0.59209,0.3307,0.38514,0.12906,2.82397,3.11432,2.02989,0.008416,0.008416,0.008416
50,359.249,2.08232,1.54344,1.47076,0.92667,0.57658,0.65461,0.29102,1.95339,1.35546,1.55256,0.008383,0.008383,0.008383
51,366.323,2.15405,1.56221,1.46764,0.64472,0.6471,0.63706,0.28513,1.84444,1.19005,1.4896,0.00835,0.00835,0.00835
52,373.268,2.05789,1.49111,1.41994,0.5831,0.57318,0.61712,0.28763,1.96691,1.26872,1.5097,0.008317,0.008317,0.008317
53,380.21,2.08456,1.45425,1.43623,0.66181,0.66159,0.65867,0.31636,1.85701,1.12959,1.45211,0.008284,0.008284,0.008284
