epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2126,3.62486,7.13217,4.24107,0,0,0,0,3.99472,8.24423,4.10321,0.0703896,0.00329004,0.00329004
2,22.2467,3.62774,5.50435,4.0594,0,0,0,0,4.02542,5.7289,3.99922,0.0403678,0.00660152,0.00660152
3,30.0393,3.56141,4.94521,3.88654,0.0001,0.05556,0.01513,0.00302,3.91773,7.86813,3.84686,0.0103239,0.009891,0.009891
4,38.8776,3.39511,4.62819,3.60317,0.0001,0.05556,0.01513,0.00302,4.43067,inf,6.78246,0.009901,0.009901,0.009901
5,46.5355,3.23303,4.77977,3.47078,0.00013,0.01389,7e-05,5e-05,4.18946,5.52396,8.77775,0.009868,0.009868,0.009868
6,54.0994,3.247,4.42263,3.19949,0.00963,0.06944,0.02939,0.00827,3.8148,4.98843,4.17112,0.009835,0.009835,0.009835
7,61.9258,2.98119,3.97052,3.0886,0.33446,0.01389,0.00105,0.00018,3.63106,83.9717,3.8139,0.009802,0.009802,0.009802
8,69.5411,2.89482,3.68851,3.01746,0.00951,0.20238,0.02243,0.00978,2.7577,4.55856,3.3651,0.009769,0.009769,0.009769
9,77.2439,2.86325,3.40574,2.88607,0.79845,0.06944,0.10963,0.04261,2.70774,15.2564,2.62923,0.009736,0.009736,0.009736
10,85.019,2.81642,3.18066,2.83527,0.10693,0.092,0.07418,0.0388,2.80147,73.0731,2.73871,0.009703,0.009703,0.009703
11,92.7206,2.81186,3.07794,2.83741,0.55213,0.29762,0.24456,0.07789,2.80944,3.32979,2.55884,0.00967,0.00967,0.00967
12,100.424,2.72692,2.79958,2.74773,0.80431,0.05556,0.1239,0.04884,2.7907,3.9405,2.71582,0.009637,0.009637,0.009637
13,108.139,2.63448,2.75544,2.67354,0.19041,0.22619,0.18492,0.06127,2.7404,3.23983,2.87775,0.009604,0.009604,0.009604
14,115.913,2.58595,2.58493,2.67649,0.40796,0.20238,0.06103,0.0189,2.64542,3.90009,2.71325,0.009571,0.009571,0.009571
15,123.552,2.58757,2.43998,2.6197,0.00063,0.3254,0.00082,0.0002,3.20204,186.078,3.2529,0.009538,0.009538,0.009538
16,131.266,2.56291,2.35891,2.61169,0.63471,0.25913,0.27712,0.10747,2.44655,2.30853,2.45768,0.009505,0.009505,0.009505
17,139.183,2.55626,2.24669,2.58141,0.36458,0.02381,0.02864,0.00869,3.297,4.78858,3.45275,0.009472,0.009472,0.009472
18,147.045,2.54935,2.19567,2.55338,0.66812,0.375,0.35363,0.12161,2.48361,2.21229,2.4169,0.009439,0.009439,0.009439
19,154.908,2.50791,2.18368,2.49832,0.64729,0.39683,0.3498,0.11856,2.38079,2.13503,2.375,0.009406,0.009406,0.009406
20,162.633,2.50229,2.18979,2.46836,0.63074,0.34325,0.33843,0.10154,2.71666,2.21556,2.63151,0.009373,0.009373,0.009373
21,170.454,2.38969,2.12638,2.44893,0.68893,0.30503,0.31071,0.13949,2.63815,2.3852,2.42933,0.00934,0.00934,0.00934
22,178.143,2.34971,2.10486,2.45367,0.04167,0.02778,0.03569,0.00606,3.39113,6.58231,3.50863,0.009307,0.009307,0.009307
23,185.987,2.41968,2.05719,2.44436,0.70524,0.35913,0.38151,0.16098,2.44832,2.09967,2.28026,0.009274,0.009274,0.009274
24,193.797,2.37753,2.02763,2.36905,0.78577,0.17635,0.22547,0.0694,2.86324,3.78977,2.77026,0.009241,0.009241,0.009241
25,201.423,2.29817,1.91212,2.34615,0.65651,0.22619,0.27689,0.09935,2.58975,2.96021,2.50372,0.009208,0.009208,0.009208
26,209.917,2.27579,1.95859,2.38636,0.20759,0.21223,0.19562,0.06202,2.66173,3.03432,2.42612,0.009175,0.009175,0.009175
27,217.691,2.29914,1.91377,2.32736,0.63804,0.35913,0.37035,0.1438,2.5505,2.22869,2.3612,0.009142,0.009142,0.009142
28,225.397,2.24404,1.86558,2.26933,0.48271,0.12897,0.10821,0.0291,2.79322,3.82593,2.55575,0.009109,0.009109,0.009109
29,233.085,2.24993,1.844,2.27386,0.09561,0.09834,0.08131,0.03317,2.89598,4.31233,2.78039,0.009076,0.009076,0.009076
30,240.828,2.23322,1.82868,2.29054,0.09509,0.09325,0.07379,0.01578,3.00782,5.47374,3.33,0.009043,0.009043,0.009043
31,248.688,2.20678,1.77573,2.2161,0.45042,0.47071,0.50794,0.2163,2.2901,1.70455,2.18579,0.00901,0.00901,0.00901
32,256.252,2.23389,1.85156,2.24134,0.82303,0.3628,0.47664,0.17524,2.37254,1.85697,2.25043,0.008977,0.008977,0.008977
33,263.763,2.18788,1.77645,2.18349,0.50879,0.45607,0.55585,0.24528,2.2689,1.6439,2.10192,0.008944,0.008944,0.008944
34,271.296,2.21795,1.65028,2.24976,0.4238,0.0119,0.01474,0.00424,3.53682,7.19425,3.83862,0.008911,0.008911,0.008911
35,278.776,2.20277,1.75662,2.17935,0.21402,0.13294,0.17629,0.06246,2.79341,3.69651,2.70326,0.008878,0.008878,0.008878
36,286.335,2.15013,1.69486,2.15317,0.48757,0.38139,0.29177,0.08971,2.77324,2.54471,2.65385,0.008845,0.008845,0.008845
37,293.942,2.14225,1.68884,2.17878,0.68899,0.3254,0.34578,0.13269,2.63185,2.35789,2.41796,0.008812,0.008812,0.008812
38,301.418,2.1915,1.67285,2.15608,0.44702,0.47831,0.54231,0.25275,2.17313,1.54516,2.05698,0.008779,0.008779,0.008779
39,308.917,2.07712,1.59556,2.11006,0.14913,0.16865,0.14227,0.04868,2.83995,3.90214,2.77633,0.008746,0.008746,0.008746
40,316.478,2.04628,1.59993,2.07076,0.8342,0.50848,0.5512,0.24585,2.18606,1.61579,2.06085,0.008713,0.008713,0.008713
41,323.977,2.07133,1.57768,2.09652,0.5544,0.53875,0.55811,0.2789,2.13559,1.46981,1.96866,0.00868,0.00868,0.00868
42,331.475,2.08107,1.59077,2.08235,0.44678,0.05952,0.07708,0.01805,3.21007,4.49757,3.06639,0.008647,0.008647,0.008647
43,338.953,2.05164,1.59812,2.03805,0.3554,0.1929,0.19678,0.06582,2.92415,2.93025,2.79864,0.008614,0.008614,0.008614
44,346.586,1.99763,1.53992,2.05087,0.47936,0.08333,0.13055,0.04018,3.19527,3.885,2.88732,0.008581,0.008581,0.008581
45,354.146,2.06585,1.54123,2.03466,0.93954,0.53055,0.60139,0.23325,2.28881,1.46017,2.12269,0.008548,0.008548,0.008548
46,361.688,2.00896,1.51093,2.00394,0.56584,0.59303,0.56203,0.27238,2.15978,1.41531,1.95908,0.008515,0.008515,0.008515
47,369.129,2.00738,1.49405,1.98867,0.779,0.52976,0.53725,0.26592,2.1448,1.52697,1.99802,0.008482,0.008482,0.008482
48,376.666,2.06922,1.55989,2.0712,0.84235,0.35714,0.44873,0.19077,2.41271,2.06525,2.26069,0.008449,0.008449,0.008449
49,384.151,2.01668,1.50984,2.06256,0.89332,0.53175,0.57812,0.28677,2.04465,1.42277,1.9172,0.008416,0.008416,0.008416
50,391.675,1.93433,1.50731,1.96167,0.96184,0.53373,0.60605,0.29175,2.08273,1.39441,1.91096,0.008383,0.008383,0.008383
51,399.155,1.94174,1.45038,1.92843,0.45943,0.36045,0.33703,0.11041,2.67747,2.26848,2.54148,0.00835,0.00835,0.00835
52,406.627,2.02623,1.51086,1.9985,0.90561,0.53373,0.59304,0.26642,2.11942,1.45574,1.94092,0.008317,0.008317,0.008317
53,414.109,1.95406,1.4413,1.95593,0.86672,0.58135,0.59113,0.28404,2.12731,1.37235,1.92465,0.008284,0.008284,0.008284
54,421.664,1.95393,1.4079,1.9713,0.84427,0.50595,0.55304,0.27398,2.25535,1.59097,2.05755,0.008251,0.008251,0.008251
55,429.123,1.92734,1.3908,1.91106,0.55881,0.56878,0.57965,0.24732,2.08709,1.45942,1.97285,0.008218,0.008218,0.008218
56,436.672,1.9399,1.41542,1.96655,0.48694,0.44173,0.45675,0.21112,2.32522,1.74252,2.17343,0.008185,0.008185,0.008185
57,444.239,1.91947,1.41511,1.90497,0.52979,0.58715,0.54024,0.2724,1.98073,1.38711,1.85587,0.008152,0.008152,0.008152
58,451.78,1.90701,1.39359,1.91201,0.8562,0.47024,0.56158,0.29949,2.02232,1.48983,1.9151,0.008119,0.008119,0.008119
59,459.322,1.96102,1.3805,1.89858,0.3459,0.35043,0.33792,0.16446,2.3202,2.49475,2.19425,0.008086,0.008086,0.008086
60,466.856,1.92562,1.38738,1.9466,0.49622,0.40123,0.4113,0.16069,2.54867,2.07235,2.40043,0.008053,0.008053,0.008053
61,474.381,1.91707,1.39172,1.89068,0.8384,0.50833,0.55135,0.23878,2.20858,1.7489,2.05885,0.00802,0.00802,0.00802
