epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7601,4.86162,7.08814,4.19255,0,0,0,0,4.08533,5.16146,4.07954,0.0707895,0.00324561,0.00324561
2,43.8301,4.82019,5.17144,3.79711,0,0,0,0,4.37508,4.2917,3.81866,0.0407678,0.00655724,0.00655724
3,62.8286,4.56967,4.76203,3.39552,0,0,0,0,4.77356,4.30171,3.46275,0.0107241,0.00984686,0.00984686
4,81.5301,4.58028,4.69597,3.05126,0,0,0,0,4.67601,4.24018,3.44115,0.009901,0.009901,0.009901
5,99.8052,4.51597,4.63067,2.89701,0.00024,0.00375,0.0001,1e-05,4.59409,6.05333,3.06568,0.009868,0.009868,0.009868
6,118.209,4.39672,4.54693,2.62968,0.00024,0.00375,0.0001,1e-05,4.78582,5.35829,3.10988,0.009835,0.009835,0.009835
7,137.318,4.02507,4.17111,2.30436,0.00988,0.01217,0.0017,0.00046,3.93723,5.20442,2.80909,0.009802,0.009802,0.009802
8,157.193,3.64176,3.62249,2.06134,0.05629,0.03453,0.01909,0.00599,3.76107,4.37854,2.62996,0.009769,0.009769,0.009769
9,176.532,3.45244,3.31177,1.928,0.24291,0.2626,0.24335,0.07001,3.45084,7.6249,2.16475,0.009736,0.009736,0.009736
10,194.857,3.26818,3.05842,1.85452,0.22485,0.12544,0.08259,0.03266,3.52386,3.79315,2.43984,0.009703,0.009703,0.009703
11,213.608,3.17139,2.89139,1.81548,0.44617,0.10788,0.11099,0.04182,3.52298,3.90509,2.36777,0.00967,0.00967,0.00967
12,232.775,3.09842,2.77037,1.78606,0.11025,0.08162,0.04367,0.01254,3.77317,3.86784,2.24373,0.009637,0.009637,0.009637
13,252.134,3.02471,2.65424,1.74487,0.57439,0.24116,0.27371,0.14606,2.98996,3.20028,1.95369,0.009604,0.009604,0.009604
14,270.918,2.90597,2.55792,1.72779,0.27127,0.18782,0.19915,0.09169,3.29152,3.31562,2.03145,0.009571,0.009571,0.009571
15,289.865,2.89479,2.52757,1.70364,0.4934,0.23961,0.29091,0.15466,3.01441,2.67389,1.8751,0.009538,0.009538,0.009538
16,309.434,2.8198,2.43886,1.65495,0.73495,0.24722,0.28984,0.13704,2.98909,2.95592,1.89711,0.009505,0.009505,0.009505
17,328.735,2.81396,2.44859,1.68499,0.68611,0.16805,0.19169,0.06879,3.37725,3.75548,1.96634,0.009472,0.009472,0.009472
18,347.971,2.758,2.36687,1.64002,0.32533,0.32145,0.27685,0.14409,2.87498,2.52982,1.86997,0.009439,0.009439,0.009439
19,367.152,2.73475,2.33413,1.6385,0.34793,0.2899,0.28463,0.1362,2.93593,2.76107,1.94202,0.009406,0.009406,0.009406
20,386.297,2.7008,2.30451,1.61344,0.36352,0.27984,0.2691,0.13123,2.85532,2.71083,1.92907,0.009373,0.009373,0.009373
21,405.314,2.62643,2.22418,1.60049,0.35191,0.28094,0.28862,0.1465,2.92639,2.79509,1.91856,0.00934,0.00934,0.00934
22,423.902,2.58437,2.20638,1.59566,0.30502,0.31404,0.29861,0.14438,2.80023,2.61834,1.76175,0.009307,0.009307,0.009307
23,443.653,2.64116,2.2224,1.58992,0.3908,0.31713,0.30771,0.18885,2.70315,2.49282,1.89727,0.009274,0.009274,0.009274
24,462.688,2.59859,2.20014,1.57676,0.3507,0.29261,0.28563,0.1577,2.61884,2.52222,1.82651,0.009241,0.009241,0.009241
25,481.531,2.51899,2.11595,1.58473,0.34613,0.35076,0.32771,0.18395,2.65105,2.49526,1.78762,0.009208,0.009208,0.009208
26,500.314,2.52182,2.08299,1.53803,0.39451,0.33984,0.31114,0.15887,2.71024,2.38675,1.91391,0.009175,0.009175,0.009175
27,519.063,2.46357,2.04654,1.53343,0.37087,0.35684,0.31781,0.17188,2.68023,2.47539,1.86118,0.009142,0.009142,0.009142
28,537.757,2.48344,2.04508,1.51703,0.37529,0.30904,0.2968,0.17339,2.86412,2.76801,1.87123,0.009109,0.009109,0.009109
29,556.201,2.43207,2.02363,1.50982,0.43187,0.3467,0.31043,0.1571,2.61676,2.41225,1.84482,0.009076,0.009076,0.009076
30,575.623,2.42386,1.99009,1.49705,0.36494,0.38532,0.29347,0.14754,2.54094,2.2521,1.82023,0.009043,0.009043,0.009043
31,594.766,2.3771,1.95649,1.49147,0.36021,0.37287,0.30945,0.16546,2.60101,2.46474,1.84021,0.00901,0.00901,0.00901
32,613.916,2.38524,1.96339,1.50911,0.38495,0.35203,0.31463,0.1689,2.62074,2.53055,1.824,0.008977,0.008977,0.008977
33,632.786,2.40596,1.93788,1.47856,0.36741,0.34559,0.24081,0.12807,2.58439,2.43683,1.83514,0.008944,0.008944,0.008944
34,651.972,2.35905,1.91316,1.46961,0.4338,0.35441,0.3375,0.18974,2.59351,2.31862,1.81098,0.008911,0.008911,0.008911
35,670.398,2.35613,1.91813,1.4825,0.38009,0.35978,0.33286,0.1837,2.58175,2.32806,1.75603,0.008878,0.008878,0.008878
36,689.996,2.34564,1.91664,1.48788,0.42806,0.31421,0.30594,0.16953,2.59226,2.52113,1.8258,0.008845,0.008845,0.008845
37,709.214,2.31755,1.87846,1.46101,0.41764,0.36066,0.31363,0.18661,2.60868,2.41575,1.81653,0.008812,0.008812,0.008812
38,728.389,2.30025,1.85632,1.4479,0.4217,0.34001,0.30889,0.17421,2.60089,2.46956,1.8313,0.008779,0.008779,0.008779
39,746.792,2.31778,1.87484,1.462,0.40742,0.40509,0.33812,0.175,2.53612,2.19959,1.81607,0.008746,0.008746,0.008746
40,766.433,2.32357,1.8635,1.44309,0.39468,0.33918,0.30301,0.16914,2.64198,2.44061,1.95048,0.008713,0.008713,0.008713
41,785.863,2.269,1.83487,1.4626,0.45145,0.39474,0.35662,0.19924,2.56496,2.42494,1.84253,0.00868,0.00868,0.00868
42,805.008,2.28619,1.83846,1.44508,0.48059,0.36227,0.34531,0.19349,2.53374,2.27785,1.82272,0.008647,0.008647,0.008647
43,823.425,2.21226,1.76862,1.40623,0.45818,0.40422,0.35931,0.20069,2.48873,2.23402,1.81031,0.008614,0.008614,0.008614
44,842.772,2.24439,1.78246,1.42223,0.45741,0.33416,0.32097,0.17076,2.67853,2.55743,1.86501,0.008581,0.008581,0.008581
45,861.956,2.24113,1.80472,1.44109,0.50245,0.37326,0.34152,0.18066,2.58775,2.22812,1.89037,0.008548,0.008548,0.008548
46,880.936,2.2457,1.77528,1.42031,0.43662,0.39261,0.33811,0.19341,2.66382,2.4169,1.83924,0.008515,0.008515,0.008515
47,900.106,2.23402,1.77706,1.42109,0.39479,0.32926,0.30354,0.14943,2.73259,2.66986,1.93819,0.008482,0.008482,0.008482
48,919.179,2.19392,1.75061,1.41246,0.43458,0.40638,0.34585,0.19623,2.51216,2.29665,1.8089,0.008449,0.008449,0.008449
49,939.019,2.21442,1.77146,1.40503,0.46575,0.34927,0.337,0.188,2.5584,2.24305,1.86162,0.008416,0.008416,0.008416
50,958.266,2.21501,1.74217,1.40014,0.4894,0.39133,0.35504,0.20153,2.55889,2.30001,1.89132,0.008383,0.008383,0.008383
51,977.73,2.1733,1.69474,1.39861,0.48485,0.38747,0.36866,0.20472,2.55649,2.22832,1.85093,0.00835,0.00835,0.00835
52,996.544,2.19983,1.72698,1.40663,0.48918,0.36967,0.34152,0.19326,2.51619,2.23327,1.85509,0.008317,0.008317,0.008317
53,1015.41,2.18267,1.71003,1.39881,0.50274,0.37488,0.35837,0.19105,2.50488,2.19651,1.85676,0.008284,0.008284,0.008284
54,1034.81,2.15457,1.69831,1.37312,0.46844,0.39433,0.34992,0.18478,2.51946,2.16982,1.79706,0.008251,0.008251,0.008251
55,1054,2.15415,1.69661,1.38527,0.50453,0.35996,0.35718,0.19331,2.64896,2.43605,1.86724,0.008218,0.008218,0.008218
56,1073.06,2.13592,1.6674,1.37103,0.46994,0.3741,0.34046,0.19038,2.53326,2.2743,1.88466,0.008185,0.008185,0.008185
57,1092.3,2.11557,1.64707,1.35442,0.50775,0.4297,0.37997,0.21524,2.47736,2.09522,1.85155,0.008152,0.008152,0.008152
58,1111.71,2.10012,1.65028,1.36625,0.46572,0.36273,0.31808,0.16844,2.59419,2.45609,1.85688,0.008119,0.008119,0.008119
59,1130.56,2.15817,1.66285,1.38808,0.49132,0.37732,0.34135,0.19555,2.54035,2.26945,1.84347,0.008086,0.008086,0.008086
60,1149.45,2.12597,1.64602,1.38079,0.47713,0.405,0.35361,0.20655,2.51155,2.19656,1.81859,0.008053,0.008053,0.008053
61,1168.54,2.08618,1.61949,1.33858,0.46478,0.41042,0.37887,0.21655,2.46632,2.10953,1.86351,0.00802,0.00802,0.00802
62,1188.04,2.08216,1.58875,1.33076,0.50459,0.42633,0.37715,0.20474,2.47009,2.10533,1.78311,0.007987,0.007987,0.007987
63,1206.91,2.07893,1.60856,1.33574,0.48908,0.40331,0.35361,0.193,2.4541,2.1586,1.81658,0.007954,0.007954,0.007954
64,1226.04,2.07072,1.58481,1.36641,0.46595,0.4307,0.36513,0.19422,2.49586,2.1871,1.89156,0.007921,0.007921,0.007921
