epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7329,2.47374,6.47645,1.58403,0.00101,0.2405,0.04107,0.02016,1.81323,5.21396,1.19618,0.0706383,0.00326241,0.00326241
2,27.8094,2.62773,4.74066,1.52133,5e-05,0.01449,3e-05,0,4.19772,7.78646,2.06716,0.0406165,0.00657398,0.00657398
3,35.8142,2.70828,4.15555,1.60429,5e-05,0.01449,3e-05,0,5.1163,5.80922,4.22076,0.0105728,0.00986355,0.00986355
4,43.6839,2.69799,3.66918,1.64385,0.00023,0.06698,0.01224,0.00253,3.91307,5.19068,3.01889,0.009901,0.009901,0.009901
5,52.2653,2.60302,3.39777,1.58431,0.31243,0.07312,0.09224,0.01898,3.71966,4.84768,3.00777,0.009868,0.009868,0.009868
6,60.2056,2.60547,2.95875,1.56729,0.22986,0.29651,0.23395,0.09306,2.31464,2.78295,1.5638,0.009835,0.009835,0.009835
7,68.2327,2.56115,2.69561,1.61504,0.91772,0.05797,0.05503,0.02593,3.71447,5.34587,4.13499,0.009802,0.009802,0.009802
8,76.4401,2.57457,2.58009,1.6672,0.07816,0.35359,0.20302,0.07904,2.83565,4.08919,1.99829,0.009769,0.009769,0.009769
9,84.7064,2.53045,2.43855,1.57589,0.48233,0.07246,0.08721,0.02954,2.99725,4.21446,2.33127,0.009736,0.009736,0.009736
10,92.5141,2.42136,2.09008,1.55103,0.00011,0.10145,0.01568,0.00314,3.62732,4.90403,3.19216,0.009703,0.009703,0.009703
11,101.077,2.39049,2.0874,1.56634,0.57829,0.55897,0.56531,0.22788,1.98174,1.59838,1.47309,0.00967,0.00967,0.00967
12,110.709,2.45298,2.14861,1.59098,0.40154,0.42306,0.35655,0.14654,2.31414,2.42006,1.76823,0.009637,0.009637,0.009637
13,118.608,2.38531,2.0173,1.58112,0.98138,0.28986,0.46302,0.18679,2.21738,2.03659,1.82211,0.009604,0.009604,0.009604
14,126.803,2.2954,1.94183,1.53748,0.94441,0.17391,0.26682,0.11058,3.03008,3.32417,2.59447,0.009571,0.009571,0.009571
15,135.129,2.34826,1.93731,1.57127,0.51332,0.53163,0.58411,0.27694,1.79655,1.34564,1.42321,0.009538,0.009538,0.009538
16,143.819,2.33841,1.88181,1.55715,0.27371,0.24508,0.19954,0.07049,2.74082,3.39666,2.12508,0.009505,0.009505,0.009505
17,151.7,2.2513,1.85093,1.52589,0.57884,0.59919,0.63099,0.24777,1.92862,1.51618,1.47617,0.009472,0.009472,0.009472
18,159.576,2.34432,1.89311,1.62296,0.39958,0.36456,0.38017,0.10939,2.57846,2.2922,2.0528,0.009439,0.009439,0.009439
19,167.481,2.31286,1.87273,1.55686,0.21691,0.17391,0.14869,0.04833,3.41139,4.39023,3.07354,0.009406,0.009406,0.009406
20,175.594,2.32696,1.83244,1.5676,0.32761,0.17457,0.20996,0.08057,2.76704,3.51404,2.10029,0.009373,0.009373,0.009373
21,183.905,2.24673,1.79418,1.53924,0.47747,0.23541,0.30525,0.1026,2.77746,3.37015,2.11817,0.00934,0.00934,0.00934
22,192.038,2.21309,1.64467,1.54572,0.65512,0.65278,0.60392,0.27699,1.78516,1.28908,1.42195,0.009307,0.009307,0.009307
23,200.116,2.28583,1.77934,1.56921,0.56261,0.53681,0.50924,0.17623,2.31551,1.73868,1.73857,0.009274,0.009274,0.009274
