epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7186,3.11146,6.54611,2.48793,4e-05,0.01235,4e-05,2e-05,1.76665,5.75351,1.37251,0.0811,0.0021,0.0021
2,39.1291,2.72023,5.49306,2.01764,5e-05,0.01333,2e-05,0,3.64834,8.02503,2.48559,0.0612915,0.00429149,0.00429149
3,53.6155,2.68605,4.82358,1.90191,5e-05,0.01333,2e-05,0,2.97678,6.56315,1.97572,0.0414743,0.00647426,0.00647426
4,66.7692,2.59946,4.07007,1.8657,0.00013,0.06173,0.00076,0.00011,3.1605,5.98703,2.08593,0.0216483,0.00864832,0.00864832
5,80.6874,2.65632,4.08558,1.8386,0.00066,0.17679,0.01662,0.00331,3.11049,5.45409,2.24727,0.0099208,0.0099208,0.0099208
6,94.2693,2.68478,3.81228,1.86759,0.00383,0.01235,0.00219,0.00066,3.25796,6.51835,2.51501,0.009901,0.009901,0.009901
7,108.651,2.62363,3.51271,1.87464,0.35995,0.03704,0.00543,0.00096,3.85719,5.03558,3.25457,0.0098812,0.0098812,0.0098812
8,122.055,2.47286,3.03923,1.7632,0.45517,0.09877,0.09011,0.02291,3.30919,4.19423,2.13752,0.0098614,0.0098614,0.0098614
9,136.422,2.4885,2.87313,1.76288,0.07849,0.08642,0.03155,0.00605,3.62426,4.8668,2.90309,0.0098416,0.0098416,0.0098416
10,149.531,2.44868,2.64997,1.75233,0.11275,0.17284,0.14134,0.02506,3.28953,5.71181,2.29206,0.0098218,0.0098218,0.0098218
11,163.77,2.33276,2.43974,1.67189,0.11275,0.17284,0.14134,0.02506,4.29423,9.49757,3.15842,0.009802,0.009802,0.009802
12,176.588,2.29353,2.43416,1.73631,0.4291,0.07407,0.04007,0.00731,3.67328,15.521,2.71882,0.0097822,0.0097822,0.0097822
13,190.737,2.33593,2.37464,1.71923,0.05351,0.02469,0.0077,0.0018,4.53191,6.1119,3.60124,0.0097624,0.0097624,0.0097624
14,204.4,2.26007,2.33512,1.72214,0.36159,0.03704,0.00499,0.00117,4.11106,5.6951,3.20937,0.0097426,0.0097426,0.0097426
15,217.789,2.24751,2.18058,1.6891,0.70051,0.06173,0.01506,0.00289,3.65045,3.97794,2.73744,0.0097228,0.0097228,0.0097228
16,232.385,2.2428,2.18125,1.68091,1e-05,0.01235,2e-05,0,5.35471,8.54782,5.44218,0.009703,0.009703,0.009703
17,245.249,2.16647,2.14364,1.65,0.01489,0.03704,0.00263,0.00032,4.40631,4.894,3.67484,0.0096832,0.0096832,0.0096832
18,258.439,2.21202,2.04903,1.64654,0.43665,0.1358,0.05628,0.01271,3.57253,3.86968,2.58773,0.0096634,0.0096634,0.0096634
19,273.049,2.18229,2.07405,1.65444,0.43665,0.1358,0.05628,0.01271,5.34683,4.45788,6.5517,0.0096436,0.0096436,0.0096436
20,286.309,2.14666,1.97288,1.63327,0.013,0.02469,0.0043,0.00082,4.44558,4.23085,3.70397,0.0096238,0.0096238,0.0096238
21,300.102,2.1064,1.8843,1.5797,0.013,0.02469,0.0043,0.00082,5.62659,7.34992,8.11223,0.009604,0.009604,0.009604
22,313.87,2.10801,1.906,1.55363,0.013,0.02469,0.0043,0.00082,5.55639,11.6009,8.91856,0.0095842,0.0095842,0.0095842
