epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0963,4.43284,6.41372,3.9048,0,0,0,0,3.86293,5.94731,2.85744,0.070098,0.00332244,0.00332244
2,66.1594,3.96799,5.33077,3.6082,0,0,0,0,3.56123,10093.5,9.67203,0.0400761,0.00663381,0.00663381
3,93.6792,3.48305,4.97095,3.28075,0.003,0.06173,0.00201,0.00049,3.05578,6.33235,2.04907,0.0100321,0.00992318,0.00992318
4,120.363,3.30177,4.73672,3.0235,0.003,0.06173,0.00201,0.00049,3.47372,3.62579,2.14504,0.009901,0.009901,0.009901
5,147.613,3.29914,4.52651,3.00724,0.6901,0.01235,0.00311,0.00095,3.35401,4.12865,2.08519,0.009868,0.009868,0.009868
6,174.423,3.22153,4.36641,2.88559,0.00094,0.03704,0.00142,0.00045,3.73321,3.43785,2.18864,0.009835,0.009835,0.009835
7,203.668,3.14302,4.16069,2.77557,0.71104,0.06173,0.01934,0.00706,3.01222,3.44936,2.00204,0.009802,0.009802,0.009802
8,231.417,3.13824,3.97716,2.74805,0.69338,0.06173,0.01823,0.0032,3.53614,18.9664,2.36588,0.009769,0.009769,0.009769
9,260.559,3.01107,3.69399,2.68539,0.00714,0.25086,0.00985,0.00243,3.11992,3.17144,2.00059,0.009736,0.009736,0.009736
10,287.654,2.94456,3.63425,2.58214,0.36514,0.03704,0.00851,0.00138,3.4338,6.18968,2.43925,0.009703,0.009703,0.009703
11,314.941,2.92362,3.36383,2.50944,0.00352,0.17877,0.0041,0.00068,3.25906,2.71419,2.26729,0.00967,0.00967,0.00967
12,341.612,2.92844,3.43185,2.50764,0.01347,0.03704,0.00764,0.00158,3.2413,2.62928,2.18178,0.009637,0.009637,0.009637
13,370.209,2.90071,3.24742,2.45667,0.11374,0.11111,0.0629,0.0178,2.8907,3.12153,1.90985,0.009604,0.009604,0.009604
14,400.613,2.8709,3.16451,2.43888,0.06144,0.04938,0.02805,0.0061,3.16358,3.04673,1.96904,0.009571,0.009571,0.009571
15,429.796,2.86488,3.12606,2.42554,0.7922,0.03704,0.03425,0.00634,3.1732,3.4354,2.00968,0.009538,0.009538,0.009538
16,457.551,2.86215,3.03536,2.3894,0.69036,0.02469,0.00585,0.00078,2.89933,5.96831,1.9114,0.009505,0.009505,0.009505
17,485.065,2.78026,2.94621,2.33048,0.02683,0.08642,0.01087,0.00277,3.32864,3.72388,2.23561,0.009472,0.009472,0.009472
18,511.06,2.84088,2.92823,2.40368,0.05159,0.11111,0.05511,0.01581,3.23767,4.48679,2.14468,0.009439,0.009439,0.009439
19,537.374,2.70768,2.80321,2.30927,0.0182,0.09877,0.0088,0.00166,3.48974,4.02523,2.36884,0.009406,0.009406,0.009406
20,563.284,2.69537,2.68247,2.29023,0.48591,0.06173,0.062,0.01789,3.21795,3.54383,2.0265,0.009373,0.009373,0.009373
21,589.415,2.60427,2.54201,2.28608,0.42356,0.11111,0.06338,0.0182,3.12394,3.10462,2.05796,0.00934,0.00934,0.00934
22,615.771,2.66378,2.59718,2.2632,0.11266,0.11111,0.06194,0.01872,3.14763,4.27351,2.20175,0.009307,0.009307,0.009307
23,642.557,2.6919,2.65764,2.29054,0.01557,0.03704,0.00273,0.00032,3.5601,4.64409,2.71494,0.009274,0.009274,0.009274
24,670.945,2.63698,2.61566,2.25441,0.34442,0.02469,0.00306,0.00067,3.63555,3.30959,2.53437,0.009241,0.009241,0.009241
25,698.573,2.54133,2.44846,2.18278,0.01692,0.03704,0.00586,0.00168,3.55476,3.91983,2.5021,0.009208,0.009208,0.009208
26,725.204,2.48996,2.45355,2.23478,0.00128,0.03704,0.00035,0.0001,3.81499,25.3864,3.1673,0.009175,0.009175,0.009175
27,752.412,2.52567,2.43943,2.25564,0.0179,0.03704,0.00513,0.00088,3.60588,3.20926,2.42081,0.009142,0.009142,0.009142
28,779.342,2.47993,2.37109,2.22231,0.0179,0.03704,0.00513,0.00088,4.25336,141.754,4.84219,0.009109,0.009109,0.009109
29,805.645,2.45268,2.31885,2.16338,0.01266,0.03704,0.0136,0.00301,3.30775,4.17404,2.28296,0.009076,0.009076,0.009076
