epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2579,2.51706,6.56854,1.65295,0,0,0,0,2.89644,6.47157,2.17115,0.0706383,0.00326241,0.00326241
2,32.8126,2.48316,4.53405,1.61805,3e-05,0.01449,0.01502,0.00526,3.77361,5.75329,3.42389,0.0406165,0.00657398,0.00657398
3,41.6613,2.58443,3.9099,1.65437,0.37686,0.28072,0.27111,0.0993,2.36961,3.47938,1.57508,0.0105728,0.00986355,0.00986355
4,48.6539,2.62046,3.58028,1.65214,0.72021,0.06976,0.17733,0.06621,2.84047,3.69185,1.85945,0.009901,0.009901,0.009901
5,57.7339,2.61239,3.25347,1.65259,6e-05,0.05797,4e-05,1e-05,3.69744,11.9146,3.37081,0.009868,0.009868,0.009868
6,66.2387,2.5755,2.94012,1.57284,0.16143,0.14297,0.11805,0.05156,3.08629,5.946,2.54575,0.009835,0.009835,0.009835
7,74.6276,2.58743,2.74489,1.57321,0.79548,0.23854,0.28843,0.1065,2.6331,2.64833,1.61707,0.009802,0.009802,0.009802
8,82.2164,2.56174,2.49564,1.57669,0.66761,0.01449,9e-05,5e-05,4.19875,6.52608,5.05462,0.009769,0.009769,0.009769
9,89.4682,2.52336,2.30599,1.5345,0.89281,0.05797,0.13753,0.03739,2.70386,4.97358,2.20826,0.009736,0.009736,0.009736
10,97.395,2.41979,2.06659,1.48909,0.59796,0.39689,0.3934,0.15063,2.31188,2.03058,1.42181,0.009703,0.009703,0.009703
11,104.848,2.359,2.0029,1.5067,0.55853,0.49265,0.52339,0.19276,2.15304,1.50987,1.46768,0.00967,0.00967,0.00967
12,112.708,2.47216,2.07543,1.59211,0.00016,0.17391,0.00018,5e-05,3.42035,9.37134,2.8343,0.009637,0.009637,0.009637
13,120.278,2.31333,1.95751,1.50782,0.69743,0.58475,0.63696,0.29157,1.92363,1.47201,1.39644,0.009604,0.009604,0.009604
14,128.274,2.29293,1.91114,1.46127,3e-05,0.01449,2e-05,0,4.16353,10.05,3.08232,0.009571,0.009571,0.009571
15,138.266,2.35773,1.96782,1.52056,0.80287,0.05797,0.05716,0.01647,3.80489,5.54522,3.21885,0.009538,0.009538,0.009538
16,147.049,2.33375,1.92088,1.54051,0.62892,0.3349,0.35234,0.11885,2.46929,2.55316,1.82151,0.009505,0.009505,0.009505
17,155.173,2.24898,1.85929,1.48644,0.80669,0.48805,0.57006,0.26464,1.92437,1.33396,1.46974,0.009472,0.009472,0.009472
18,162.975,2.32592,1.88676,1.60245,0.54417,0.54601,0.591,0.28207,1.78326,1.44137,1.42638,0.009439,0.009439,0.009439
19,170.461,2.25374,1.85626,1.50147,0.63926,0.57628,0.59203,0.24872,1.8465,1.48854,1.40675,0.009406,0.009406,0.009406
20,177.83,2.28484,1.81876,1.52957,0.58889,0.63015,0.57407,0.24171,2.00267,1.66859,1.48995,0.009373,0.009373,0.009373
21,185.393,2.2678,1.84519,1.5306,0.16888,0.04482,0.05023,0.02036,3.63575,5.93449,2.99115,0.00934,0.00934,0.00934
22,200.165,2.19898,1.71357,1.50706,0.15144,0.31207,0.25867,0.09703,2.52876,4.56814,1.91546,0.009307,0.009307,0.009307
23,207.715,2.2758,1.7818,1.53335,0.38157,0.17418,0.20577,0.07453,2.98776,2.96835,2.22816,0.009274,0.009274,0.009274
24,215.346,2.29258,1.72929,1.51139,0.64617,0.48715,0.55541,0.23389,1.97028,1.47936,1.50422,0.009241,0.009241,0.009241
25,222.912,2.14207,1.6818,1.48524,0.50641,0.35118,0.40216,0.11838,2.4474,2.44525,1.89391,0.009208,0.009208,0.009208
26,230.314,2.17321,1.63671,1.47888,0.00216,0.01449,0.01588,0.00772,3.44666,6.27314,2.58642,0.009175,0.009175,0.009175
27,237.888,2.24924,1.60606,1.50281,0.63791,0.58827,0.60841,0.29416,1.80036,1.30608,1.44853,0.009142,0.009142,0.009142
28,245.088,2.18681,1.65252,1.47151,0.55741,0.42611,0.46451,0.17429,2.47127,1.90296,1.8637,0.009109,0.009109,0.009109
29,252.434,2.14781,1.63178,1.50307,0.52987,0.24508,0.26908,0.12639,2.49377,3.41543,1.84239,0.009076,0.009076,0.009076
30,259.869,2.22258,1.64283,1.47328,0.56616,0.62556,0.62153,0.26022,1.92803,1.29791,1.46685,0.009043,0.009043,0.009043
31,267.049,2.24571,1.69234,1.52271,0.56744,0.53023,0.49802,0.19261,2.21252,1.57003,1.6751,0.00901,0.00901,0.00901
32,274.267,2.1968,1.7026,1.50151,0.63508,0.63285,0.67482,0.3256,1.75309,1.22221,1.4248,0.008977,0.008977,0.008977
33,281.816,2.17406,1.62551,1.46637,0.88604,0.37487,0.49877,0.17861,2.26384,2.46047,1.67899,0.008944,0.008944,0.008944
34,289.315,2.21258,1.57605,1.51287,0.73742,0.30396,0.31306,0.09058,2.77489,3.05027,2.09618,0.008911,0.008911,0.008911
35,296.52,2.10827,1.58731,1.46603,0.52979,0.48665,0.53305,0.19861,2.26801,1.52313,1.71306,0.008878,0.008878,0.008878
36,303.669,2.12657,1.54429,1.48695,0.726,0.67852,0.66584,0.30751,1.77713,1.22727,1.44962,0.008845,0.008845,0.008845
37,311.089,2.20184,1.55335,1.53772,0.473,0.29243,0.32728,0.12508,2.65669,2.99747,1.92217,0.008812,0.008812,0.008812
38,318.389,2.11961,1.4995,1.4936,0.4446,0.39184,0.41511,0.13513,2.43193,2.32462,1.84143,0.008779,0.008779,0.008779
39,325.558,2.15581,1.59959,1.4929,0.58618,0.55552,0.61231,0.28535,1.7927,1.23173,1.43308,0.008746,0.008746,0.008746
40,333.001,2.12551,1.59384,1.49691,0.55155,0.58338,0.55922,0.25826,2.03745,1.44432,1.57104,0.008713,0.008713,0.008713
41,340.259,2.14951,1.54762,1.47539,0.41786,0.2449,0.28363,0.08615,2.74282,2.72389,2.04727,0.00868,0.00868,0.00868
42,347.726,2.11391,1.54283,1.48854,0.52994,0.3247,0.36682,0.12566,2.66479,3.24431,1.99202,0.008647,0.008647,0.008647
43,355.096,2.05549,1.42445,1.45008,0.86862,0.02899,0.05067,0.01267,3.08999,5.19803,2.33157,0.008614,0.008614,0.008614
44,362.479,2.15521,1.55667,1.46936,0.73919,0.56726,0.6568,0.28018,1.89067,1.31266,1.52401,0.008581,0.008581,0.008581
45,369.704,2.13014,1.51841,1.45338,0.82243,0.60366,0.64499,0.24106,2.1417,1.3386,1.58423,0.008548,0.008548,0.008548
46,377.055,2.1177,1.55007,1.47169,0.48455,0.45857,0.38183,0.14561,2.38714,1.91141,1.85316,0.008515,0.008515,0.008515
47,384.302,2.08947,1.49275,1.46686,0.65538,0.67454,0.62275,0.29073,1.95854,1.19899,1.5499,0.008482,0.008482,0.008482
48,391.393,2.08364,1.50154,1.44722,0.67165,0.64732,0.64602,0.311,1.82141,1.1222,1.45778,0.008449,0.008449,0.008449
49,398.472,2.15089,1.50393,1.46463,0.07692,0.23698,0.11666,0.03554,3.37288,5.09593,2.67254,0.008416,0.008416,0.008416
50,405.872,2.07014,1.52912,1.46655,0.29815,0.12914,0.0879,0.02175,3.36229,3.34255,2.79968,0.008383,0.008383,0.008383
51,412.866,2.17688,1.54326,1.49234,0.60738,0.61582,0.62409,0.27884,1.90835,1.20191,1.53215,0.00835,0.00835,0.00835
52,420.439,2.11383,1.51444,1.4572,0.45535,0.48248,0.50335,0.18931,2.22476,1.74593,1.65774,0.008317,0.008317,0.008317
