epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0767,3.24114,6.40213,2.58785,0,0,0,0,2.48548,6.18701,1.68956,0.0829,0.0019,0.0019
2,37.669,2.72261,5.27334,2.08869,0,0,0,0,2.22096,5.53599,1.41386,0.0648871,0.00388713,0.00388713
3,50.9185,2.59953,4.39527,2.03548,0,0,0,0,3.99801,7.97268,2.78301,0.0468611,0.00586106,0.00586106
4,64.1368,2.63885,4.01316,2.03029,5e-05,0.01333,4e-05,2e-05,3.01583,6.11253,1.83012,0.0288218,0.00782179,0.00782179
5,77.3001,2.55289,3.81118,1.9105,5e-05,0.01333,4e-05,2e-05,4.22187,6.57055,3.2492,0.0107693,0.00976932,0.00976932
6,90.008,2.52306,3.72163,1.86363,0.00013,0.02469,0.01249,0.00184,3.46383,6.6448,1.98111,0.009835,0.009835,0.009835
7,102.195,2.54549,3.51758,1.9707,0.00013,0.02469,0.01249,0.00184,4.21834,9.45462,3.56258,0.009802,0.009802,0.009802
8,114.732,2.61455,3.44687,1.92051,0.00013,0.02469,0.01249,0.00184,4.08824,7.89017,3.13738,0.009769,0.009769,0.009769
9,127.528,2.4871,3.1519,1.83083,0.69083,0.04938,0.00439,0.00107,3.34465,7.25437,2.22624,0.009736,0.009736,0.009736
10,142.717,2.45639,2.95675,1.88695,8e-05,0.04938,5e-05,1e-05,3.2916,149.058,2.42373,0.009703,0.009703,0.009703
11,154.398,2.41328,2.7812,1.8013,0.42708,0.06173,0.04201,0.01088,3.28759,24.1215,2.3507,0.00967,0.00967,0.00967
12,166.746,2.39543,2.57494,1.83042,0.41822,0.12346,0.06651,0.01942,3.28201,3.40281,2.13272,0.009637,0.009637,0.009637
13,179.046,2.32428,2.46952,1.72004,0.40659,0.09877,0.03188,0.00696,3.53113,4.92516,2.7379,0.009604,0.009604,0.009604
14,192.335,2.31702,2.35486,1.6971,0.07911,0.04938,0.0175,0.00403,3.89862,6.21382,2.879,0.009571,0.009571,0.009571
15,204.708,2.2546,2.2649,1.65434,0.04966,0.07407,0.0226,0.00567,3.47831,8.09014,2.64969,0.009538,0.009538,0.009538
16,217.365,2.24514,2.19972,1.74103,0.78872,0.01235,0.00661,0.0013,4.96186,6.38404,5.24964,0.009505,0.009505,0.009505
17,230.175,2.25236,2.19529,1.6952,0.33657,0.01235,0.00019,3e-05,4.89757,7.76749,5.12734,0.009472,0.009472,0.009472
18,243.19,2.195,2.11201,1.69582,0.33657,0.01235,0.00019,3e-05,5.91212,103.07,8.93567,0.009439,0.009439,0.009439
19,255.478,2.26207,2.08077,1.67928,0.01992,0.02469,0.00441,0.00103,4.05374,4.84243,2.99731,0.009406,0.009406,0.009406
20,268.33,2.19958,2.06363,1.66609,0.04651,0.07407,0.03017,0.00701,3.58114,4.8467,2.66191,0.009373,0.009373,0.009373
21,280.147,2.20951,2.02949,1.69912,0.37918,0.02469,0.008,0.0011,4.63883,7.97881,3.75976,0.00934,0.00934,0.00934
22,304.597,2.14878,2.02468,1.62064,0.41249,0.04938,0.01944,0.00355,4.38576,6.20226,3.63891,0.009307,0.009307,0.009307
23,323.634,2.13986,1.94529,1.5712,0.41249,0.04938,0.01944,0.00355,5.31492,4.93546,5.79068,0.009274,0.009274,0.009274
24,338.196,2.11864,1.93763,1.58647,0.00701,0.01235,0.00176,0.0003,4.45479,4.73509,3.75776,0.009241,0.009241,0.009241
25,350.001,2.12869,1.86626,1.64928,0.04958,0.04938,0.01587,0.00296,4.27429,4.33306,3.41301,0.009208,0.009208,0.009208
26,362.89,2.13244,1.88904,1.64894,0.02849,0.02469,0.00456,0.00101,4.49845,5.06137,4.00365,0.009175,0.009175,0.009175
27,375.294,2.01674,1.78206,1.55795,0.40237,0.08642,0.038,0.00916,3.98862,3.61741,3.13972,0.009142,0.009142,0.009142
28,388.448,2.06874,1.87512,1.59998,0.40237,0.08642,0.038,0.00916,5.828,6.06354,6.82529,0.009109,0.009109,0.009109
29,401.419,2.07903,1.75698,1.58155,0.40237,0.08642,0.038,0.00916,5.92077,11.4448,6.40796,0.009076,0.009076,0.009076
30,413.995,2.0151,1.79394,1.55075,0.40237,0.08642,0.038,0.00916,5.72307,6.13713,6.35048,0.009043,0.009043,0.009043
31,426.673,2.06721,1.82091,1.59574,0.02544,0.02469,0.0049,0.00078,4.39388,4.01428,3.27811,0.00901,0.00901,0.00901
32,439.03,2.02233,1.70015,1.59059,0.02544,0.02469,0.0049,0.00078,5.50136,4.74904,5.54316,0.008977,0.008977,0.008977
33,451.899,2.00961,1.71449,1.57057,0.02544,0.02469,0.0049,0.00078,4.97561,6.57075,4.45246,0.008944,0.008944,0.008944
34,465.014,1.97861,1.68639,1.52055,0.01521,0.01235,0.00129,0.00013,4.89529,4.82369,4.2197,0.008911,0.008911,0.008911
35,477.753,1.99688,1.68066,1.57123,0.01521,0.01235,0.00129,0.00013,5.32307,5.87738,5.26266,0.008878,0.008878,0.008878
36,491.587,1.91471,1.61528,1.50473,0.36502,0.02469,0.00884,0.00142,4.62914,4.45732,4.09384,0.008845,0.008845,0.008845
37,503.706,2.00015,1.63854,1.51811,0.35293,0.01235,0.00285,0.00029,4.60476,5.19998,4.31908,0.008812,0.008812,0.008812
